gate_b_label,human_label
SUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
UNSUPPORTED,UNSUPPORTED
CONTRADICTED,SUPPORTED
UNSUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
UNSUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
SUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
UNSUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
SUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
SUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
UNSUPPORTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
SUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
SUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
UNSUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
SUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
SUPPORTED,SUPPORTED
UNSUPPORTED,SUPPORTED
CONTRADICTED,CONTRADICTED
SUPPORTED,SUPPORTED
UNSUPPORTED,CONTRADICTED
SUPPORTED,SUPPORTED
SUPPORTED,SUPPORTED
UNSUPPORTED,CONTRADICTED
CONTRADICTED,CONTRADICTED
UNSUPPORTED,CONTRADICTED
